자치구명,법정동명,단독다가구,아파트,연립다세대,오피스텔
서대문구,충정로3가,92930.1052631579,68464.13043478261,90331.25,16143.75
서대문구,합동,,110250.0,,27969.48051948052
서대문구,현저동,,92347.61904761905,,
서대문구,홍은동,84361.7794117647,68071.57794676805,23257.53829321663,20130.0
서대문구,홍제동,83278.81818181818,78263.1551724138,32977.41635687732,
서초구,내곡동,273250.0,148197.46835443037,66750.0,18275.0
서초구,반포동,666438.8965517242,355933.7784522003,75432.3481228669,101612.0
서초구,방배동,351734.07216494845,192047.58684210526,74085.60679079956,35472.561904761904
서초구,서초동,430334.6206896552,191560.2791911285,55182.520661157025,30734.938461538462
서초구,신원동,354625.0,148338.46153846153,53500.0,19192.537313432837
서초구,양재동,438345.1904761905,114796.49484536082,51564.33792240301,19391.904761904763
서초구,염곡동,275000.0,,250000.0,
서초구,우면동,323366.3333333333,129524.51263537905,41196.22641509434,15851.149425287356
서초구,원지동,325000.0,,,
서초구,잠원동,603666.6666666666,264320.63,34923.07692307692,36116.666666666664
성동구,금호동1가,116245.0,129303.57142857143,28796.94,
성동구,금호동2가,105928.57142857143,135882.38434163702,59805.51724137931,
성동구,금호동3가,72340.41379310345,108319.69696969698,58671.52777777778,
성동구,금호동4가,168184.25,145802.47093023255,71388.1875,19500.0
성동구,도선동,134111.11111111112,95050.0,24247.484848484848,27305.81818181818
성동구,마장동,182107.02222222224,86633.6,42114.0350877193,17056.81818181818
성동구,사근동,66713.63636363637,47838.46153846154,24738.227272727272,
성동구,상왕십리동,,133744.5054945055,,19541.304347826088
성동구,성수동1가,464152.8245614035,243130.05249343833,91381.22222222222,31579.701923076922
성동구,성수동2가,415348.0792079208,167816.76300578035,176178.50402144773,22781.867256637168
성동구,송정동,160989.04109589042,85175.0,40017.5,
성동구,옥수동,179666.66666666666,166884.21787709498,92200.0,23233.333333333332
성동구,용답동,201508.75,107211.65909090909,45933.15217391304,22574.521739130436
성동구,응봉동,105000.0,111900.09493670886,39438.590604026846,
성동구,하왕십리동,181826.08695652173,120023.23345817727,39454.545454545456,22509.782608695652
성동구,행당동,349625.26666666666,121973.504784689,49107.99029126213,22492.105263157893
성동구,홍익동,186600.0,69775.0,36818.91891891892,22475.0
성북구,길음동,72807.46153846153,92012.73858921161,30799.926829268294,
성북구,돈암동,73600.0,73415.94110429448,33359.011494252874,
성북구,동선동1가,143333.33333333334,85333.33333333333,,16950.0
성북구,동선동2가,108436.85714285714,,19366.666666666668,
성북구,동선동3가,202585.7142857143,63000.0,29250.0,29322.222222222223
성북구,동선동4가,95425.0,55075.0,35200.0,14407.142857142857
성북구,동선동5가,68820.0,35750.0,26860.65625,
성북구,동소문동1가,36000.0,,36427.27272727273,
성북구,동소문동2가,65875.0,,,
성북구,동소문동3가,36000.0,,,
성북구,동소문동4가,141601.66666666666,57879.166666666664,37614.81481481482,21235.714285714286
