,헤드라인,내용,날짜,자치구,법정동
100,서울 성북구 돈암동 역세권에 574세대 아파트 건립 ,서울시는 제1차 도시·건축공동위원회 수권소위원회를 열고 성북구 돈암동 624번지 일원 역세권 주택 및 공공임대주택 건립을 위한 지구단위계획구역 ...,2023.02.07,성북구,돈암동
101,"서울 노원구 하계장미아파트, 안전진단 최종  통과",서울 노원구 하계장미아파트가 안전진단을 최종 통과했다.6일 정비업계에 따르면 지난 3일 노원구는 서울 노원구 하계동 273번지에 위치한 하계장미아파 ...,2023.02.06,노원구,하계동
102,"서울 노원구, '재건축 안전진단 비용지원 조례 제정' 서명운동 돌입","서울 노원구, 주민들과 함께 ‘재건축 안전진단 비용지원 조례 개정’을 위한 서명운동 나서 - 서울시에 재건축 안전진단 비용을 선지원하는 시 조례  ...",2023.01.18,노원구,전체
103,"GS건설, 서울 노원 상계주공5단지 재건축 시공자로 선정",GS건설은 서울 노원구에 위치한 상계주공5단지 재건축사업 시공자로 선정됐다.노원 상계주공5단지재건축사업 조합은 지난 14일 노원구민의전당에서 시 ...,2023.01.17,노원구,전체
104,"대보건설, 부천 새보미아파트 가로주택정비 수주",경기도 부천시 새보미아파트 가로주택정비사업 시공사에 대보건설이 선정됐다.  부천 고강동 397일대에 위치한 새보미아파트는 가로주택정비를 통해 ...,2023.01.16,강동구,전체
105,"노원 상계주공2단지, 정밀안전진단 조건부재건축 통과 ",서울시 노원구 상계주공2단지 아파트가 정밀안전진단을 조건부 통과했다.  28일 정비업계에 따르면 상계주공2단지는 현 안전진단 기준 점수 52.58로 D등 ...,2022.12.28,노원구,전체
106,"‘재건축 정밀안전진단 비용지원’ 조례, 서울시의회 보류 결정","서상열(구로1), 서준오(노원4), 최재란(비례), 허훈(양천2) 서울시의원은 재건축 정밀안전진단 비용지원 조례에 서울시 주택정책실이 부정적이라며 유감 ...",2022.12.21,노원구,전체
107,GS건설 길동 신동아1·2차 재건축 ’강동 헤리티지 자이’ 견본주택 개관,GS건설은 ‘강동 헤리티지 자이’ 견본주택을 오는 15일 개관하고 분양에 나선다고 밝혔다.  ‘강동 헤리티지 자이’는 서울시 강동구 길동 160번지 일 ...,2022.12.14,강동구,길동
108,"길음5구역 최고 30층, 808세대로 재정비",서울시 제9차 도시재정비위원회에서 성북구 정릉동 175번지 일대 '길음5재정비촉진구역 재정비촉진계획 변경(안)'이 조건부 가결됐다고 7일 밝혔다. 이 ...,2022.12.07,성북구,정릉동
109,"재개발·재건축 걸림돌, 시공자 선정시기...합리적 대안은?","서울특별시의회 주택공간위원회 김태수 부위원장(국민의힘, 성북구 제4선거구)은 오는 9일 오후 2시 서울시의회 제7-3회의실에서 ‘재개발·재건축 활성 ...",2022.12.06,성북구,전체
