,Unnamed: 0,헤드라인,내용,날짜,자치구,법정동
1251,1251,"서울 강북구, 번동 411‧수유동 52-1 ‘모아타운 선(先) 지정’ 방식 추진","서울 강북구는 번동 411 및 수유동 52-1를 ‘모아타운 선(先) 지정’ 방식으로 추진한다고 14일 밝혔다.4호선 수유역이 가까운 번동 411(면적 79,517㎡) 및 우 ...",2023.11.14,서울,전체
1252,1252,"서울 강북구, '체계적 정비사업 지원 세미나' 성황리 종료",서울 강북구는10~11일 이틀 간메리츠화재연수원에서 ‘강북구에서 정비사업 추진 시 어떻게 계획 관리를 할 것인가’를 주제로 ‘강북구 도시‧경관‧ ...,2023.11.13,서울,전체
1253,1253,"강남 수서역 남쪽 주차장, 광장으로...""도시 경관 개선""","지하철 3호선, SRT, 수인 분당선이 지나는 수서역 일대 도시 경관을 개선하기 위해 역 남쪽 주차장에 광장을 조성한다.서울시는 제17차 도시·건축공동위 ...",2023.11.10,서울,전체
1254,1254,서울 서초 삼풍아파트 정밀안전진단 통과...재건축 확정,서울 서초구 서초동에 위치한 삼풍아파트가 정밀안전진단을 통과하며 재건축 정비사업 이 확정됐다.9일 정비업계에 따르면 서초구청은 지난 8일 삼풍아 ...,2023.11.09,서울,전체
1255,1255,"서울 강서 공항로 지구단위계획 변경..호텔 자리, 업무시설로","서울시는 강서구 공항로(등촌동 505-2, 505-7번지 일원) 지구단위계획 변경에 따라 2022년 2월 폐업 후 공실 상태로 있던 호텔을 허물고 업무시설을 짓는다. ...",2023.11.09,서울,전체
1256,1256,"유종상 경기도의원 ""광명시흥 3기 신도시 보상지연..신속한 사업 추진을""",경기도의회 문화체육관광위원회 유종상 의원(더불어민주당 광명3)이 보상지연에 따른 부채증가와 이자부담으로 주민 피해가 심각한 3기신도시 광명시 ...,2023.11.09,그외,전체
1257,1257,"서울 성동구, 성수젼략정비구역 재개발 본격화...재정비안 '24년 3월 제출",서울 성동구는 성수전략정비구역주택재개발정비사업 지구단위 및 정비계획 변경 입안 절차에 돌입했다고 9일 밝혔다.성동구는관계 부서 협의와 지구별 ...,2023.11.09,서울,전체
1258,1258,"입주 8년째 미등기 마포공덕자이, ""1년 내 등기"" 극적 합의",2015년 준공인가 난 서울 마포구 공덕자이아파트2015년 준공인가 난 공덕자이아파트 토지 등 소유자와 소송으로 8년간 미등기 상태 지속미등기 문제 해결 ...,2023.11.09,서울,전체
1259,1259,압구정3구역 재건축 설계자는...서울시가 고발한 희림건축 '무혐의',"압구정아파트지구 특별계획구역3 재건축조합(조합장 안중근)설계자 응모 과정에서 사기미수, 업무방해, 입찰방해 혐의로 서울시로부터 고발당한 희림 ...",2023.11.08,서울,전체
1260,1260,"서울시, '소규모재건축 사업성 분석' 무료 지원","서울시는 저층주택이 밀집한 지역 중 1만㎡ 미만, 200세대 미만인 소규모 주택단지의 재건축 사업성을 분석한다고 6일 밝혔다.'소규모재건축' 사업은 작 ...",2023.11.06,서울,전체
1261,1261,"부산 감천2구역 재개발 조합, 사업시행인가 절차 돌입",부산광역시 사하구 감천2구역 재개발정비사업조합(조합장 강정봉)은 지난 4일 사하구 국민체육센터 3층에서 사업시행계획 변경(안) 처리를 위한 정기총 ...,2023.11.06,서울,전체
1262,1262,"양산 복지아파트재건축조합, '정비사업 성공 세미나' 9일 개최",경남 양산 복지아파트 주택재건축정비사업조합(조합장 마정락)은 '정비사업 성공을 위한 세미나'가 11월 9일 오후 6시 30분터 9시까지 양산시 문화예술회 ...,2023.11.06,그외,전체
1263,1263,"한국토지신탁, ‘여의도 삼익 재건축’ 사업시행자 지정",한국토지신탁은여의도 삼익아파트 재건축정비사업(여의도 삼익 재건축)의 사업시행자로 지정됐다고 6일 밝혔다.여의도 삼익재건축 추진위원회는 지난 ...,2023.11.06,그외,전체
1264,1264,"서울 금천 시흥5동 모아타운 통합위-한토신, 통합개발 협약",서울시 금천구 시흥5동 모아타운 통합위원회와 한국토지신탁은 3일 해당 지역 통합개발을 위한 업무협약을 체결했다.시흥5동 모아타운은 서울시 금천구 ...,2023.11.03,서울,전체
1265,1265,"서울 강북구, 재개발·재건축 정비사업 지원 조례 제정",서울 강북구는 정비사업의 체계적이고 효율적인 지원을 위해 서울시 자치구 중 최초로 재개발·재건축등'정비사업 지원에 관한 조례'를 제정했다고 3일 ...,2023.11.03,서울,전체
1266,1266,서울 동대문 용두1-6구역 공공 재개발로 997세대 공급,지하철 1호선·수인분당선이 지나는 청량리역 역세권에 녹지와 공원이 어우러진 997세대 규모의 아파트가 들어선다.서울시는 지난 1일제2차 도시재정비 ...,2023.11.02,서울,전체
1267,1267,"경기 군포시, 재건축·재개발·리모델링 등 통합지원","경기 군포시는 1기 신도시 재건축 및 재개발사업, 공동주택 리모델링, 소규모 정비사업 등의 통합지원을 위해 '군포시 주거정비 통합지원센터' 운영을  ...",2023.11.02,그외,전체
1268,1268,장위8‧9구역 재정비촉진계획 통과..5000여세대 주택 공급,서울 성북구 장위8·9구역이 5000여세대 주택단지로 변모한다.서울시는 지난 1일 제2차 도시재정비위원회 수권소위원회를 열고 장위8구역인 성북구 장위 ...,2023.11.02,성북구,전체
1269,1269,"경기 용인시, 공동주택 리모델링 기본계획 재정비",경기 용인특례시는 ‘공동주택 리모델링 기본계획’을 재정비해 공공기여 방안과 도시과밀화 문제를 해결한다고 2일 밝혔다.용인시에는 590개 공동주택 ...,2023.11.02,그외,전체
1270,1270,"경기 수원시, 지동 주민 대상 '도시정비사업' 교육 진행",경기 수원시는 10월 31일 지동 주민을 대상으로 ‘찾아가는 도시정비사업 새빛 맞춤교육’을 개최했다고 1일 밝혔다.교육은 주민이 새빛톡톡을 통해 신 ...,2023.11.01,그외,전체
1271,1271,서울 봉천14구역‧문배특계2-1 건축심의 통과...2041세대 공급,서울시는 제19차 건축위원회에서 봉천 제14구역 주택정비형 재개발사업과 문배업무지구 특별계획구역 2-1 복합시설 개발사업 건축계획안이 통과됐다고 ...,2023.11.01,서울,전체
1272,1272,"서울시, 지역주택조합 사업 피해사례집 발간 ","내 집 마련의 꿈이 있던 A씨는 2020년 △△지역주택조합 홍보관을 방문했다가 ‘토지확보율이 80% 이상이고, 이미 법적 요건을 다 갖춰 사업이 빠르게 진 ...",2023.10.31,서울,전체
1273,1273,서울 용산 한남3구역 8300여 가구 이주 시작...2년 소요,한남3재정비촉진구역의 정비사업 시행을 위한 이주가 지난 30일부터 개시됐다.31일 용산구는 관리처분계획인가 기준 총 8300여 가구가 이주하며 세입자는 ...,2023.10.31,서울,전체
